,WardCode,Register,ListSize,Prevalence_perc,Year_x,Year_y,Ward,Monitor,Longitude,Latitude,NO2,PM10,DUST
63,E05011109,290.0,7022.0,0.041298775277698666,2015,2014,Old Kent Road,SK5,-0.0595528932573422,51.48049949364671,42.0,24.0,
64,E05011114,583.0,11752.0,0.04960857726344452,2015,2014,St George's,SK6,-0.101527038274853,51.4931557048667,37.0,23.0,26.0
65,E05011218,1214.0,21116.0,0.05749194923280925,2015,2014,Belvedere,BX2,0.158914493927518,51.490610208214704,27.0,19.0,20.0
66,E05011220,589.0,10260.0,0.057407407407407414,2015,2014,Blackfen & Lamorbey,GB6,0.08560599999999999,51.4563,47.0,,
67,E05011231,353.0,6775.0,0.05210332103321033,2015,2014,Slade Green & Northend,BX4,0.190836225974902,51.477670796298,24.0,27.0,29.0
68,E05011232,808.0,16151.0,0.050027862051885336,2015,2014,Thamesmead East,BQ8,0.137279111232178,51.494648681305506,,18.0,
69,E05011255,871.0,17151.0,0.05078421083318757,2015,2014,Wanstead Village,RB4,0.030858,51.576609999999995,52.0,31.0,31.0
70,E05011468,420.0,7895.0,0.053198226725775816,2015,2014,Fairfield,CR4,-0.09650299999999999,51.374311999999996,45.0,23.0,24.0
71,E05011472,681.0,17828.0,0.038198339690374686,2015,2014,Norbury & Pollards Hill,CR5,-0.12311,51.411349,66.0,,
72,E05011487,465.0,10362.0,0.04487550665894615,2015,2014,Waddon,CR7,-0.11760450735139201,51.362230565540294,35.0,,
